店舗名,年度,月,制服冬上,制服冬下,Yシャツ,制服夏上,制服夏下,体操服上,体操服下,靴下,シューズ,帽子,体操帽,合計,,,
岡山北,2017,8,24,24,48,95,71,166,214,998,523,95,190,2447,,,
岡山北,2017,9,190,166,166,48,48,48,48,1045,404,95,0,2257,,,
岡山北,2017,10,309,214,143,24,71,48,48,760,428,71,0,2115,,,
岡山北,2017,11,95,95,214,24,48,48,24,713,380,95,0,1734,,,
岡山北,2017,12,95,95,404,24,48,24,0,927,475,95,0,2186,,,
岡山北,2017,1,71,95,143,0,24,0,24,879,214,95,0,1544,,,
岡山北,2017,2,451,356,95,24,0,24,48,760,143,71,0,1972,,,
岡山北,2017,3,3326,3208,7366,356,475,689,927,7437,3683,4229,1045,32741,,,
岡山北,2018,4,95,71,665,285,404,3897,3374,927,879,356,4182,15135,,,
岡山北,2018,5,95,95,356,3968,3588,2637,2566,808,380,71,2732,17297,,,
岡山北,2018,6,24,48,214,1948,1734,404,475,855,499,71,428,6700,,,
岡山北,2018,7,0,48,166,71,71,784,618,832,404,95,737,3825,,,
岡山北,2018,8,24,24,48,95,71,143,166,927,404,95,190,2186,,,
岡山北,2018,9,190,143,143,48,24,48,48,879,428,95,0,2043,,,
岡山北,2018,10,214,238,166,24,71,24,48,808,499,71,0,2162,,,
岡山北,2018,11,71,71,166,24,24,48,24,950,475,71,0,1925,,,
岡山北,2018,12,95,71,380,24,48,24,0,689,356,95,0,1782,,,
岡山北,2018,1,71,71,119,0,24,0,24,737,190,95,0,1331,,,
岡山北,2018,2,380,333,95,24,0,24,24,974,190,71,0,2115,,,
岡山北,2018,3,3516,4372,6011,404,428,689,737,8221,3588,4229,689,32884,,,
岡山中,2016,4,119,143,1045,428,570,5988,4491,1022,1164,570,5346,20885,,,
岡山中,2016,5,95,119,689,4324,5679,2922,3683,1022,689,119,3540,22881,,,
岡山中,2016,6,24,71,404,2400,2400,689,618,1022,689,119,642,9076,,,
岡山中,2016,7,0,71,214,143,143,879,760,1212,642,143,1045,5251,,,
岡山中,2016,8,24,24,71,95,95,238,238,1402,618,143,238,3184,,,
岡山中,2016,9,261,261,261,48,48,71,71,1093,689,143,0,2946,,,
岡山中,2016,10,428,333,238,48,71,48,71,1426,570,119,0,3350,,,
岡山中,2016,11,143,95,333,48,71,95,24,1117,689,95,0,2709,,,
岡山中,2016,12,119,143,523,24,71,24,0,1022,546,119,0,2590,,,
岡山中,2016,1,119,95,166,24,24,0,24,1283,238,143,0,2115,,,
岡山中,2016,2,523,475,95,24,24,24,48,1093,214,143,0,2661,,,
岡山中,2016,3,5037,4752,10264,594,570,1212,1022,9955,4277,5298,974,43956,,,
岡山中,2017,4,143,119,1378,570,475,4776,5774,1045,1022,594,5821,21717,,,
岡山中,2017,5,119,119,689,5346,5298,3184,3778,1069,618,95,4063,24378,,,
岡山中,2017,6,24,48,356,2352,2210,689,665,1045,618,95,546,8649,,,
岡山中,2017,7,0,71,285,95,119,784,1117,1378,546,119,1045,5560,,,
岡山中,2017,8,24,24,48,119,95,285,238,974,499,119,214,2637,,,
岡山中,2017,9,190,285,214,71,48,48,71,1331,546,119,0,2922,,,
岡山中,2017,10,333,380,285,48,71,48,71,1378,594,143,0,3350,,,
岡山中,2017,11,119,119,333,48,48,71,24,1188,594,143,0,2685,,,
岡山中,2017,12,95,119,618,24,48,24,0,1093,594,143,0,2756,,,
岡山中,2017,1,119,119,166,24,24,0,24,1307,261,95,0,2138,,,
岡山中,2017,2,499,475,95,24,0,24,48,1354,285,143,0,2946,,,
岡山中,2017,3,5037,5512,12569,499,618,1283,1093,10264,5298,5512,1069,48756,,,
岡山中,2018,4,95,119,1069,475,451,6011,5108,1117,903,570,4443,20362,,,
岡山中,2018,5,143,119,570,5797,5797,3231,3849,1331,570,95,2827,24330,,,
岡山中,2018,6,24,71,261,2091,1901,594,570,974,499,119,546,7651,,,
岡山中,2018,7,0,71,238,119,143,998,879,1093,642,95,998,5275,,,
岡山中,2018,8,24,24,71,119,119,190,214,1117,594,119,214,2804,,,
岡山中,2018,9,190,238,238,71,48,71,71,1331,594,95,0,2946,,,
岡山中,2018,10,285,404,190,48,71,48,48,1140,594,119,0,2946,,,
岡山中,2018,11,119,119,261,24,71,71,24,974,642,119,0,2424,,,
岡山中,2018,12,143,95,451,24,71,24,24,998,499,95,0,2424,,,
岡山中,2018,1,95,119,143,0,24,24,24,1307,190,143,0,2067,,,
岡山中,2018,2,546,594,95,24,24,24,48,1188,214,119,0,2875,,,
岡山中,2018,3,6011,5156,11714,618,499,1331,950,9409,5797,4491,1117,47092,,,
岡山中仙道,2016,4,166,143,1402,713,570,5702,5631,1592,1497,594,6035,24045,,,
岡山中仙道,2016,5,143,143,737,6558,7627,4633,4514,1687,618,119,5298,32076,,,
岡山中仙道,2016,6,24,71,451,2922,3113,594,832,1758,665,143,594,11167,,,
岡山中仙道,2016,7,24,95,261,143,166,1164,1354,1378,832,119,1378,6914,,,
岡山中仙道,2016,8,48,24,71,166,143,238,356,1378,855,119,261,3659,,,
岡山中仙道,2016,9,356,333,333,71,48,71,71,1473,665,166,0,3588,,,
岡山中仙道,2016,10,404,499,285,48,95,48,95,1616,832,119,0,4039,,,
岡山中仙道,2016,11,166,166,380,48,71,95,24,1734,642,119,0,3445,,,
岡山中仙道,2016,12,166,166,784,24,48,24,24,1687,832,166,0,3920,,,
岡山中仙道,2016,1,119,119,261,24,24,24,48,1734,285,143,0,2780,,,
岡山中仙道,2016,2,760,594,119,24,24,24,48,1758,356,143,0,3849,,,
岡山中仙道,2016,3,6106,7484,13662,642,737,1354,1687,15634,6296,7104,1758,62465,,,
岡山中仙道,2017,4,166,119,1164,713,760,7532,5916,1259,1354,784,7793,27562,,,
岡山中仙道,2017,5,166,166,760,6748,6035,3730,4253,1497,594,119,4372,28441,,,
岡山中仙道,2017,6,24,71,428,2566,3326,618,594,1426,689,166,618,10526,,,
岡山中仙道,2017,7,24,71,238,119,143,1331,1140,1711,784,143,950,6653,,,
岡山中仙道,2017,8,48,24,71,166,166,285,309,1521,760,143,285,3778,,,
岡山中仙道,2017,9,261,285,309,71,48,71,71,1236,832,166,0,3350,,,
岡山中仙道,2017,10,475,499,238,48,71,48,71,1259,665,119,0,3493,,,
岡山中仙道,2017,11,166,166,356,24,71,95,24,1354,855,119,0,3231,,,
岡山中仙道,2017,12,143,166,665,24,71,24,24,1521,760,166,0,3564,,,
岡山中仙道,2017,1,166,143,238,24,24,24,48,1188,285,166,0,2305,,,
岡山中仙道,2017,2,808,760,166,24,24,24,71,1378,261,143,0,3659,,,
岡山中仙道,2017,3,5322,5774,14304,642,832,1164,1378,15587,6962,6439,1378,59780,,,
岡山中仙道,2018,4,119,143,1140,523,713,5156,5203,1212,1378,570,6890,23047,,,
岡山中仙道,2018,5,166,119,737,6201,7009,4301,3897,1259,808,143,3683,28322,,,
岡山中仙道,2018,6,24,95,451,3231,2946,737,760,1402,832,166,642,11286,,,
岡山中仙道,2018,7,24,95,238,166,119,1212,950,1188,570,143,998,5702,,,
岡山中仙道,2018,8,48,24,71,143,166,261,285,1212,760,166,261,3398,,,
岡山中仙道,2018,9,261,309,238,71,48,71,71,1236,832,143,0,3279,,,
岡山中仙道,2018,10,499,475,238,48,95,48,71,1521,618,143,0,3754,,,
岡山中仙道,2018,11,166,119,285,48,71,95,24,1449,808,166,0,3231,,,
岡山中仙道,2018,12,166,119,737,24,71,24,24,1426,784,143,0,3516,,,
岡山中仙道,2018,1,166,143,190,24,24,24,48,1354,214,166,0,2352,,,
岡山中仙道,2018,2,808,784,143,24,24,24,48,1378,261,143,0,3635,,,
岡山中仙道,2018,3,7318,5394,12426,808,808,1188,1402,12783,5275,6700,1236,55337,,,
美作,2016,4,95,95,737,380,380,4467,3849,760,713,451,4514,16442,,,
美作,2016,5,95,95,475,4039,3350,2970,2376,760,475,71,2780,17487,,,
美作,2016,6,24,48,285,1616,1592,380,380,1022,451,71,499,6368,,,
美作,2016,7,0,48,190,95,95,618,689,1022,499,71,689,4015,,,
美作,2016,8,24,24,48,71,71,190,190,784,523,95,143,2162,,,
美作,2016,9,190,143,143,48,48,48,24,784,499,71,0,1996,,,
美作,2016,10,261,261,190,48,48,48,48,879,356,95,0,2233,,,
美作,2016,11,95,71,214,24,48,48,24,760,499,95,0,1877,,,
美作,2016,12,71,95,404,24,48,24,0,950,475,71,0,2162,,,
美作,2016,1,71,95,119,0,24,0,24,927,190,71,0,1521,,,
美作,2016,2,475,428,71,24,0,24,48,998,143,71,0,2281,,,
美作,2016,3,3493,4301,9005,428,356,998,713,6463,3421,4396,760,34333,,,
美作,2017,4,71,95,903,309,333,4491,4158,665,903,404,3920,16252,,,
美作,2017,5,95,71,475,4372,3018,2851,2519,760,428,95,2328,17012,,,
美作,2017,6,24,48,238,1948,1473,380,333,737,451,95,428,6154,,,
美作,2017,7,0,48,166,71,95,784,642,832,404,95,784,3920,,,
美作,2017,8,24,24,48,95,95,143,166,903,380,71,190,2138,,,
美作,2017,9,143,190,166,48,24,48,48,950,428,95,0,2138,,,
美作,2017,10,238,238,190,48,48,24,48,737,451,95,0,2115,,,
美作,2017,11,71,95,190,24,48,48,24,760,451,95,0,1806,,,
美作,2017,12,95,95,356,24,24,24,0,784,475,95,0,1972,,,
美作,2017,1,95,95,143,0,24,0,24,879,190,95,0,1544,,,
美作,2017,2,428,451,71,24,0,24,48,950,166,95,0,2257,,,
美作,2017,3,3540,4158,7009,380,404,713,713,6629,4538,3065,974,32124,,,
美作,2018,4,71,71,760,285,404,4063,3992,879,950,356,3445,15278,,,
美作,2018,5,71,71,404,3612,3968,2424,2875,737,475,95,2732,17464,,,
美作,2018,6,24,48,214,1331,1402,380,333,642,356,95,428,5251,,,
美作,2018,7,0,48,166,71,95,737,689,879,451,95,665,3897,,,
美作,2018,8,24,24,48,71,95,166,166,689,356,71,143,1853,,,
美作,2018,9,166,190,190,48,48,48,48,760,356,71,0,1925,,,
美作,2018,10,285,261,143,24,48,24,48,950,333,95,0,2210,,,
美作,2018,11,71,71,166,24,48,48,24,784,380,71,0,1687,,,
美作,2018,12,95,95,380,24,48,24,0,927,356,95,0,2043,,,
美作,2018,1,95,95,119,0,24,0,24,665,166,95,0,1283,,,
美作,2018,2,475,451,71,24,0,24,48,950,143,71,0,2257,,,
美作,2018,3,3018,3897,5774,404,475,927,832,8577,3825,3825,784,32337,,,
倉敷,2016,4,119,143,1449,546,428,4800,4752,1093,1378,713,5892,21313,,,
倉敷,2016,5,119,143,737,6225,6273,4063,4039,1236,665,95,3231,26825,,,
倉敷,2016,6,24,71,333,2685,2804,523,499,1117,642,119,689,9504,,,
倉敷,2016,7,24,71,285,95,143,1069,903,1140,523,143,1069,5465,,,
倉敷,2016,8,48,24,48,119,119,285,285,1164,665,119,285,3160,,,
倉敷,2016,9,214,214,214,71,48,48,71,1236,594,119,0,2827,,,
倉敷,2016,10,356,404,214,48,71,48,71,1283,546,143,0,3184,,,
倉敷,2016,11,119,119,356,48,48,71,24,1236,546,119,0,2685,,,
倉敷,2016,12,119,143,546,24,71,24,0,1093,594,95,0,2709,,,
倉敷,2016,1,143,119,214,0,24,0,24,974,238,119,0,1853,,,
倉敷,2016,2,499,642,119,24,0,24,48,1331,214,119,0,3018,,,
倉敷,2016,3,4633,4514,9932,570,499,1259,1164,8934,5774,5132,974,43386,,,
倉敷,2017,4,119,119,998,428,570,6296,4966,974,1283,546,5013,21313,,,
倉敷,2017,5,143,119,523,4871,6083,3778,3018,1259,475,119,3065,23451,,,
倉敷,2017,6,24,71,333,2115,2257,570,642,998,689,143,523,8364,,,
倉敷,2017,7,0,95,214,143,119,784,927,1354,523,119,784,5061,,,
倉敷,2017,8,24,24,48,143,95,285,190,1402,546,143,238,3136,,,
倉敷,2017,9,285,285,261,71,48,48,48,1212,642,119,0,3018,,,
倉敷,2017,10,356,309,214,48,95,48,71,1212,499,143,0,2994,,,
倉敷,2017,11,95,95,309,24,71,95,24,998,594,143,0,2447,,,
倉敷,2017,12,119,119,523,24,71,24,24,1022,713,143,0,2780,,,
倉敷,2017,1,119,119,143,24,24,24,48,1188,261,95,0,2043,,,
倉敷,2017,2,618,642,95,24,0,24,48,1140,214,119,0,2922,,,
倉敷,2017,3,5441,6415,10787,665,570,1045,1045,9076,6035,4277,1259,46617,,,
倉敷,2018,4,119,95,974,570,475,4348,4752,974,1378,546,4229,18462,,,
倉敷,2018,5,119,119,499,4229,4942,2970,3326,1069,546,119,3065,21004,,,
倉敷,2018,6,24,48,404,2590,2685,475,546,1140,499,119,665,9195,,,
倉敷,2018,7,0,71,261,95,143,784,974,1117,570,143,998,5156,,,
倉敷,2018,8,24,24,48,119,119,261,238,1022,499,143,190,2685,,,
倉敷,2018,9,190,238,214,48,48,71,71,1093,475,119,0,2566,,,
倉敷,2018,10,380,285,214,48,71,48,71,1093,570,119,0,2899,,,
倉敷,2018,11,95,119,309,24,71,71,24,1354,546,95,0,2709,,,
倉敷,2018,12,119,143,665,24,48,24,0,1188,546,119,0,2875,,,
倉敷,2018,1,143,119,166,0,24,24,48,1236,261,119,0,2138,,,
倉敷,2018,2,523,546,119,24,0,24,48,950,238,119,0,2590,,,
倉敷,2018,3,5607,4229,11334,499,618,1378,1093,11334,5156,4538,1307,47092,,,
瀬戸,2016,4,166,190,1711,689,808,6344,6344,1853,1639,689,6273,26706,,,
瀬戸,2016,5,190,143,927,8411,6724,4776,5061,1711,689,143,5370,34143,,,
瀬戸,2016,6,24,95,523,3303,2994,879,974,1402,879,190,950,12213,,,
瀬戸,2016,7,24,95,380,143,143,1283,1188,1497,737,190,1568,7247,,,
瀬戸,2016,8,48,48,71,166,190,380,309,1568,950,143,333,4206,,,
瀬戸,2016,9,356,404,333,95,71,71,95,1497,855,143,0,3920,,,
瀬戸,2016,10,594,523,333,71,119,71,95,1877,855,166,0,4704,,,
瀬戸,2016,11,166,190,499,48,71,119,48,1925,903,166,0,4134,,,
瀬戸,2016,12,166,143,737,24,71,24,24,1782,760,190,0,3920,,,
瀬戸,2016,1,166,143,238,24,48,24,48,1782,356,143,0,2970,,,
瀬戸,2016,2,808,855,166,24,24,48,71,1473,380,166,0,4015,,,
瀬戸,2016,3,8411,7817,11951,950,927,1877,1402,12403,6724,8031,1616,62109,,,
瀬戸,2017,4,190,166,1806,855,713,8245,7294,1806,1758,713,7152,30698,,,
瀬戸,2017,5,166,166,879,7508,8031,3897,5679,1497,713,166,5203,33906,,,
瀬戸,2017,6,24,71,523,3588,3659,642,713,1473,855,143,737,12426,,,
瀬戸,2017,7,24,95,333,143,143,1521,1236,1830,950,143,1449,7865,,,
瀬戸,2017,8,48,24,71,143,166,380,356,1544,855,190,309,4087,,,
瀬戸,2017,9,333,333,333,95,48,71,95,1568,950,143,0,3968,,,
瀬戸,2017,10,451,523,333,71,71,71,71,1663,642,166,0,4063,,,
瀬戸,2017,11,166,143,404,48,71,95,24,1378,689,166,0,3184,,,
瀬戸,2017,12,190,190,689,24,71,24,24,1853,713,143,0,3920,,,
瀬戸,2017,1,190,166,261,24,24,24,48,1616,309,166,0,2827,,,
瀬戸,2017,2,879,784,143,24,24,48,71,1806,285,143,0,4206,,,
瀬戸,2017,3,5845,7603,13876,737,879,1616,1830,15753,7817,6439,1426,63819,,,
瀬戸,2018,4,190,143,1521,760,808,6486,7651,1283,1592,689,5869,26991,,,
瀬戸,2018,5,143,190,665,5726,7865,4467,5013,1259,689,143,4752,30912,,,
瀬戸,2018,6,24,95,546,2614,3303,855,879,1283,665,166,713,11143,,,
瀬戸,2018,7,24,119,261,190,166,998,1093,1734,689,166,998,6439,,,
瀬戸,2018,8,48,24,95,143,143,356,333,1473,808,166,261,3849,,,
瀬戸,2018,9,356,285,285,71,71,95,95,1259,713,143,0,3374,,,
瀬戸,2018,10,404,380,285,71,95,71,95,1711,760,166,0,4039,,,
瀬戸,2018,11,190,166,428,48,71,95,48,1259,737,166,0,3208,,,
瀬戸,2018,12,143,166,689,24,95,48,24,1331,689,166,0,3374,,,
瀬戸,2018,1,166,143,190,24,24,24,48,1497,333,166,0,2614,,,
瀬戸,2018,2,760,760,143,24,24,48,71,1283,380,143,0,3635,,,
瀬戸,2018,3,6011,7722,16584,737,665,1449,1711,11880,7461,5512,1259,60992,,,
真庭,2016,4,95,71,998,333,380,3659,3160,950,760,404,3398,14208,,,
真庭,2016,5,71,95,428,3588,3303,2233,2994,950,428,95,2043,16228,,,
真庭,2016,6,24,48,261,1830,1663,404,356,737,404,95,404,6225,,,
真庭,2016,7,0,48,166,95,71,665,665,998,356,71,665,3802,,,
真庭,2016,8,24,24,48,71,71,143,166,737,499,95,143,2020,,,
真庭,2016,9,166,190,190,48,48,48,48,737,356,71,0,1901,,,
真庭,2016,10,214,214,190,24,48,24,48,760,499,95,0,2115,,,
真庭,2016,11,71,95,261,24,48,48,24,927,404,71,0,1972,,,
真庭,2016,12,95,71,356,24,24,24,0,998,380,95,0,2067,,,
真庭,2016,1,71,71,119,0,24,0,24,974,214,71,0,1568,,,
真庭,2016,2,404,356,71,24,0,24,24,832,166,95,0,1996,,,
真庭,2016,3,4538,4538,6154,356,499,927,832,8862,3849,4348,832,35735,,,
真庭,2017,4,95,95,713,333,380,3089,3208,808,713,356,4443,14232,,,
真庭,2017,5,95,71,475,3659,3350,2020,2305,832,333,71,2732,15943,,,
真庭,2017,6,24,48,238,1521,1972,404,333,927,499,95,333,6391,,,
真庭,2017,7,0,48,166,71,71,784,665,974,428,71,665,3944,,,
真庭,2017,8,24,24,48,71,95,166,190,950,475,71,190,2305,,,
真庭,2017,9,190,190,190,48,48,48,48,974,404,71,0,2210,,,
真庭,2017,10,214,238,143,48,48,48,48,950,428,95,0,2257,,,
真庭,2017,11,95,95,190,24,48,48,24,784,404,71,0,1782,,,
真庭,2017,12,95,95,404,24,48,24,0,760,475,95,0,2020,,,
真庭,2017,1,71,71,119,0,24,0,24,998,143,71,0,1521,,,
真庭,2017,2,451,428,95,24,0,24,24,665,143,95,0,1948,,,
